User_ID,Recipe_ID,Recipe_Name,Vegetarian,Chicken,Egg,Cheese,Milk,Paneer,Rice,Vegetables,Fruits,Sugar,Chocolate,Spices,Chili,Protein,Healthy,Sweet,Spicy,User_Likes_Recipe
12,135,Mixed Veg Curry,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
17,136,Hot & Spicy Noodles,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1
23,137,Chocolate Brownie,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
13,138,Sprouts Bowl,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
12,139,Spicy Chicken Wings,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1
8,140,Lentil Soup,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0
22,141,Chicken Biryani,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0
26,142,Multigrain Roti with Veggies,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1
8,143,Cream Cheese Sandwich,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
18,144,Cream Cheese Sandwich,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
9,145,Vegetable Pulao,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0
1,146,Boiled Egg Salad,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
11,147,Loaded Cheese Fries,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
20,148,Fruit Salad Bowl,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0
34,149,Lentil Soup,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1
12,150,Grilled Fish,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
31,151,Gulab Jamun,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1
32,152,Sprouts Bowl,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1
15,153,Grilled Chicken,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1
13,154,Grilled Chicken,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
33,155,Cream Cheese Sandwich,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1
7,156,Grilled Fish,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1
12,157,Cream Cheese Sandwich,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
3,158,Hot & Spicy Noodles,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1
28,159,Palak Paneer,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,160,Chocolate Milkshake,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1
3,161,Spicy Chicken Wings,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
25,162,Hot & Spicy Noodles,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
4,163,Palak Paneer,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1
5,164,Chicken Curry,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0
35,165,Chili Paneer,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1
18,166,Spicy Chicken Wings,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1
9,167,Mixed Veg Curry,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1
26,168,Cheese Loaded Pizza,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0
7,169,Vegetable Pulao,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1
13,170,Lentil Soup,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1
31,171,Sweet Rice Kheer,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0
16,172,Sweet Rice Kheer,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
26,173,Gulab Jamun,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1
15,174,Grilled Chicken,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0
29,175,Spicy Chicken Wings,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
21,176,Cheese Loaded Pizza,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
2,177,Loaded Cheese Fries,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
18,178,Paneer Butter Masala,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0
15,179,Butter Rice,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1
16,180,Cheesy Pasta,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
